,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2015-11-23,NSE:GIRRESORTS,221.0,221.0,221.0,221.0,6600.0,,
1,2015-11-24,NSE:GIRRESORTS,227.0,228.0,226.0,228.0,66000.0,3.167420814479638,
2,2015-11-26,NSE:GIRRESORTS,226.5,227.5,226.5,227.0,33000.0,-0.43859649122807015,3.167420814479638
3,2015-11-27,NSE:GIRRESORTS,226.0,226.5,226.0,226.5,19800.0,-0.22026431718061676,-0.43859649122807015
4,2015-11-30,NSE:GIRRESORTS,227.0,227.0,227.0,227.0,6600.0,0.22075055187637968,-0.22026431718061676
5,2015-12-01,NSE:GIRRESORTS,226.0,226.0,226.0,226.0,6600.0,-0.4405286343612335,0.22075055187637968
6,2015-12-02,NSE:GIRRESORTS,227.0,228.0,220.5,225.0,39600.0,-0.4424778761061947,-0.4405286343612335
7,2015-12-03,NSE:GIRRESORTS,227.0,227.0,223.5,223.5,13200.0,-0.6666666666666667,-0.4424778761061947
8,2015-12-07,NSE:GIRRESORTS,225.0,227.5,225.0,225.0,19800.0,0.6711409395973155,-0.6666666666666667
9,2015-12-09,NSE:GIRRESORTS,221.0,221.0,221.0,221.0,6600.0,-1.7777777777777777,0.6711409395973155
10,2015-12-11,NSE:GIRRESORTS,226.0,227.0,226.0,227.0,19800.0,2.7149321266968327,-1.7777777777777777
11,2015-12-15,NSE:GIRRESORTS,226.5,227.5,221.0,225.5,46200.0,-0.6607929515418502,2.7149321266968327
12,2015-12-16,NSE:GIRRESORTS,225.0,227.5,224.89999,226.7,59400.0,0.53215077605321,-0.6607929515418502
13,2015-12-17,NSE:GIRRESORTS,226.5,227.0,225.10001,225.10001,26400.0,-0.7057741508601637,0.53215077605321
14,2015-12-18,NSE:GIRRESORTS,227.0,227.0,224.8,225.5,33000.0,0.17769435016906598,-0.7057741508601637
15,2015-12-21,NSE:GIRRESORTS,226.3,227.0,226.0,226.89999,33000.0,0.6208381374722849,0.17769435016906598
16,2015-12-22,NSE:GIRRESORTS,226.5,227.0,226.0,226.0,19800.0,-0.3966461170844487,0.6208381374722849
17,2015-12-23,NSE:GIRRESORTS,226.5,227.5,226.5,227.5,19800.0,0.6637168141592921,-0.3966461170844487
18,2015-12-28,NSE:GIRRESORTS,226.7,226.7,226.7,226.7,13200.0,-0.3516483516483566,0.6637168141592921
19,2015-12-29,NSE:GIRRESORTS,224.2,228.3,224.2,227.39999,19800.0,0.30877370974857254,-0.3516483516483566
20,2015-12-30,NSE:GIRRESORTS,225.5,225.75,225.5,225.75,13200.0,-0.725589301916857,0.30877370974857254
21,2015-12-31,NSE:GIRRESORTS,226.5,227.3,226.3,227.25,59400.0,0.6644518272425249,-0.725589301916857
22,2016-01-01,NSE:GIRRESORTS,227.39999,227.60001,227.0,227.0,26400.0,-0.11001100110011,0.6644518272425249
